"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P254.2BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.1AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.1AL_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.1AS"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.1AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.1BS"	130	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.1BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.2AS"	76	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.2AS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.2BL"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P256.2BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P256.2BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.1AS"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.1AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.1BS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.1BS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.2AL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.2AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.2AS"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.2AS_pure"	33	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.2BL"	119	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.2BL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P258.2BS"	165	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P258.2BS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.1AL"	185	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.1AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.1AS"	87	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.1AS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.1BS"	1715	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.1BS_pure"	51	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.2AL"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.2AL_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.2AS"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.2AS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P259.2BL"	2	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.2BS"	258	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P259.2BS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.1AL"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.1AS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.1AS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.1BL"	66	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.1BL_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.1BS"	25	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.2AL"	4	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.2AS"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.2AS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P26.2BS"	170	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P26.2BS_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.1AL"	189	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.1AL_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.1AS"	192	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.1AS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.1BL"	115	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.1BL_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.1BS"	945	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.1BS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.2AL"	33	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.2AL_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.2AS"	125	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.2BL"	246	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.2BL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P260.2BS"	89	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P260.2BS_pure"	32	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.1AS"	196	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.1AS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.1BL"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.1BS"	173	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.1BS_pure"	50	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.2AL"	316	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.2AL_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.2AS"	231	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.2BL"	74	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P262.2BS"	229	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P262.2BS_pure"	109	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.1AS"	184	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.1AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.1BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.1BS"	37	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.1BS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.2AL"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.2AS"	173	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.2AS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P263.2BS"	134	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P263.2BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.1AL"	50	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.1AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.1AS"	107	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.1AS_pure"	52	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.1BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.1BS"	79	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.1BS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.2AS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.2BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.2BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P264.2BS"	160	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P264.2BS_pure"	48	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P265.2AL"	63	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P265.2AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P265.2AS"	167	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P265.2AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P265.2BL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P265.2BL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P265.2BS"	137	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P265.2BS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.1AL"	20	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.1AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.1AS"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.1AS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.1BL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.1BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.1BS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.2AL"	14	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.2AS"	65	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.2AS_pure"	24	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P266.2BS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P266.2BS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.1AL"	83	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.1AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.1AS"	297	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.1AS_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.1BL"	33	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.1BS"	296	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.1BS_pure"	134	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.2AL"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.2AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.2AS"	82	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.2AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.2BL"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.2BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P268.2BS"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P268.2BS_pure"	69	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.1AL"	134	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.1AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.1AS"	170	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.1AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.1BL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.1BS"	567	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.1BS_pure"	146	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.2AL"	22	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.2AL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.2AS"	147	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.2AS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P269.2BS"	440	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P269.2BS_pure"	37	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P27.1AS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P27.1AS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P27.1BL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P27.1BS"	67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P27.1BS_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P27.2BL"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P27.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P27.2BS"	67	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P27.2BS_pure"	40	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.1AL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.1AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.1AS"	82	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.1AS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.1BL"	114	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.1BL_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.1BS"	126	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.1BS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.2AL"	50	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.2AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.2AS"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.2AS_pure"	20	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.2BL"	49	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.2BL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P270.2BS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P270.2BS_pure"	11	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.1AL"	7	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.1AS"	42	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.1AS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.1BS"	30	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.1BS_pure"	23	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.2AL"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.2AS"	114	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P271.2BS"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P271.2BS_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P272.1AS"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P272.1AS_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P272.1BS"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P272.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P272.2AS"	1	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P272.2BS"	3	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P272.2BS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.1AL"	114	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.1AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.1AS"	164	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.1AS_pure"	43	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.1BS"	103	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.1BS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.2AL"	87	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.2AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.2AS"	880	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.2AS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.2BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P273.2BS"	314	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P273.2BS_pure"	45	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.1AL"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.1AL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.1AS"	60	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.1AS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.1BL"	101	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.1BL_pure"	10	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.1BS"	31	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.1BS_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.2AS"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.2AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.2BL"	294	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.2BL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P274.2BS"	48	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P274.2BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.1AL"	24	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.1AL_pure"	4	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.1AS"	487	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.1AS_pure"	42	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.1BL"	17	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.1BL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.1BS"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.1BS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.2AS"	101	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.2AS_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.2BL"	61	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.2BL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P275.2BS"	201	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P275.2BS_pure"	46	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.1AL"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.1AL_pure"	22	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.1AS"	120	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.1AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.1BL"	6	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.1BL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.1BS"	167	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.1BS_pure"	61	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.2AL"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.2AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.2AS"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.2AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.2BL"	110	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.2BL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P276.2BS"	193	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P276.2BS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.1AL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.1AL_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.1AS"	224	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.1AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.1BL"	75	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.1BL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.1BS"	126	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.1BS_pure"	49	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.2AL"	36	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.2AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.2AS"	220	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.2AS_pure"	39	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.2BL"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.2BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P278.2BS"	244	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P278.2BS_pure"	55	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.1AL"	57	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.1AL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.1AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.1AS_pure"	26	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.1BL"	96	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.1BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.1BS"	223	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.1BS_pure"	57	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.2AL"	188	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.2AL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.2AS"	485	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.2AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.2BL"	91	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.2BL_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P279.2BS"	710	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P279.2BS_pure"	121	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.1AL"	132	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.1AL_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.1AS"	154	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.1AS_pure"	31	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.1BL"	86	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.1BL_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.1BS"	18	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.1BS_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.2AL"	44	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.2AL_pure"	15	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.2AS"	78	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.2AS_pure"	36	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.2BL"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.2BL_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P28.2BS"	54	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P28.2BS_pure"	25	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P280.1AS"	11	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P280.1AS_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P280.1BL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P280.1BL_pure"	1	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
