"survey_fk"	"surveyTarget_fk"
"P64.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P64.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P64.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P64.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P280.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P280.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P65.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P65.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P280.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P280.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P65.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P65.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P281.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P281.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P66.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P66.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P66.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P66.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P340.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P340.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P67.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P67.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P67.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P67.2B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P68.1A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P68.1B"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
"P68.2A"	"e1d4c1e1-003e-4423-a368-94d272dabf72"
