"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","collectorNumber","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","discipline","disposition","eventID","evidenceForOccurrenceID","externalClassificationSource","feedbackURL","geoClassificationCode","geoName","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","scientificName","scientificNameAuthorship","scientificNameID","taxonID","taxonRank","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel","vernacularName"
"","RMNH.AVES.233147","","","","","","","","","","","https://doi.org/TEST/ZZM-8E8-DXW","Zoology","","aebe9f18a1a65cf76e6dbe3ace33831d","","","https://doi.org/TEST/ZZM-8E8-DXW","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.233147","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.156018","","","","","","","","","","","https://doi.org/TEST/ZZL-VXJ-148","Zoology","","78cb3f919791822ca24c904eab0a2844","","","https://doi.org/TEST/ZZL-VXJ-148","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156018","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.47185","","","","","","","","","","","https://doi.org/TEST/ZZL-M8Q-YMA","Zoology","","3553f42b99b69c2e99194882ee03bc1c","","","https://doi.org/TEST/ZZL-M8Q-YMA","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.47185","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.33281","","","","","","","","","","","https://doi.org/TEST/ZZL-GHG-FPM","Zoology","","31af408bde94df3439d77a05e15bcdbd","","","https://doi.org/TEST/ZZL-GHG-FPM","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33281","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.24500","","","","","","","","","","","https://doi.org/TEST/ZZL-679-JG8","Zoology","","bc90e44e1c8f9c4f7d8155f254fe4633","","","https://doi.org/TEST/ZZL-679-JG8","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.24500","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.131995","","","","","","","","","","","https://doi.org/TEST/ZZL-1P4-6CQ","Zoology","","1aa192575be54ed71b247bd8385f6f70","","","https://doi.org/TEST/ZZL-1P4-6CQ","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131995","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.71101.a","","","","","","","","","","","https://doi.org/TEST/ZZL-1DL-AS9","Zoology","","41bfd7b6fdeb0c7cf590a570f2e18b6f","","","https://doi.org/TEST/ZZL-1DL-AS9","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.71101.a","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.131263","","","","","","","","","","","https://doi.org/TEST/ZZK-YYM-X4W","Zoology","","fb35f1e8567855fff9cdf47cfd639a4c","","","https://doi.org/TEST/ZZK-YYM-X4W","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131263","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.5782","","","","","","","","","","","https://doi.org/TEST/ZZK-YJS-P3E","Zoology","","132d85853d6b0d6c0f69fdb72a2de198","","","https://doi.org/TEST/ZZK-YJS-P3E","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.5782","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.102192","","","","","","","","","","","https://doi.org/TEST/ZZK-AG1-P8S","Zoology","","ceb0c866dfefa82e212e1dca295b04b2","","","https://doi.org/TEST/ZZK-AG1-P8S","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.102192","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
