"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","siteNumber","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1846-08-06","","a31050de4ff84fe3ff67702ee7d58114","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Woubrugge, Wijde Aa lake","","","","","","","","","","","","","","","","","South Holland","","","","","6-8-1846","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1916-06-01","","c929ec6206c06377529e562b328c524a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Sumatra","","Bengkulen (hoofdplaats)","","","","","","","","","","","","","","","","","","","","","","01-06-1916","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","03ae6ddd88c41ee51a96cdd0c90ee559","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","sine loco [Nederland]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","United States","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","2017-01-04","","cc326371e998110c4096d76ca0efb4f5","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Travis County","","","","","","","","","","","","","","","","","Texas","","","","","4 January 2017","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1894-05-15","","5a0258e86bffeb0258b3a66393066a9c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Nanga Raoen","","","","","","","","","","","","","","","","","","","","","","15-05-1894","","","","","","",""
"","","","South Africa","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1992-08-22","","d24e37e7d260046f7e936432296c2f17","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Tugela River, near Weenen","","","","","","","","","","","","","","","","","Natal","","","","","22-08-1992","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1937-05-15","","5763782b995655203770accbe0626e2b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Belitung","","Ajer [Air] Kundur","","","","","","","","","","","","","","","","","","","","","","15-5-1937","","","","","","",""
"","","","Brazil","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","2219477fc4d0892f8dff141c1033bbbc","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St. Catharina","","","","","","","","","","","",""
"","","","Mexico","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1963-04-23","","046d54b6d57334a744d69115d209ced7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Fortin","","","","","","","","","","","","","","","","","Veracruz","","","","","23-04-1963","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","2017-01-21","","9fc1941a02ae812d286f414ec3ffad8d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Harlingen","","","","","","","","","","","","","","","","","Friesland","","","","","21 January 2017","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1896-06-12","","d9a1020a7a2630ce93da750c775a56c4","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","St. Anthony Park","","","","","","","","","","","","","","","","","Minn.","","","","","12-06-1896","","","","","","",""
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1974-01-18","","940498fbc399d42943d9a1c9e6f0d62b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Phedra","","","","","","","","","","","","","","","","","","","","","","18-01-1974","","","","","","",""
"","","","South Africa","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","c80f248c05df4a723182c2a59815f372","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kaap","","","","","","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","< august 1879","","e8a3a59cd91cfd3d644adae08ef437b6","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Malacca","","","","","< august 1879","","","","","","",""
"","","","India/Pakistan","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","eee83c90734b4f42284b9080a568f5c0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hindostan [W India/E Pakistan]","","","","","","","","","","","",""
"","","","Italy","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1899-01-01/1899-12-31","","3e06070ed18e7ee2d8e1a7535967584f","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Cremona","","","","","","","","","","","","","","","","","Cremona","","","","","1899","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","8c269a8372c6ae04f5db824856867a76","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zuid Chili","","","","","","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","07-12-1930, On original label:\n7-12-30","","ded57904e7df9e6aedffef38b3ffa8cc","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Java","","Seneng","","","","","","","","","","","","","","","","","Java, Semarang","","","","","07-12-1930, On original label:\n7-12-30","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","36e69cbcfd438ed00961af691cf80c1a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"","","","Hungary","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-06-02","","0099e041d42cdbd87f592f71b2f3a49e","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Szigetcsep","","","","","","","","","","","","","","","","","Pest","","","","","2/6/1908","","","","","","",""
"","","","Mexico","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","103fbf635aac50b129f38c17a6aafe87","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Veracruz, no further locality","","","","","","","","","","","","","","","","","Veracruz","","","","","","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1918-03-15","","2fade5c74c527de347721fd9d67d3c01","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Eiland Edam","","","","","","","","","","","","","","","","","","","Java","","","","","15-03-1918","","","","","","",""
"","","","Netherlands Antilles","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1951-10-30","","3cc223d07a917dea0c4a5bea0f9daaf0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Curaçao","","Klein Sint Joris","","","","","","","","","","","","","","","","","","","","","","30-10-1951","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1976-02-05","","41cb555fbcbb933e0bc791db3ea5c327","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Hondsbossche Zeewering","","","","","","","","","","","","","","","","","North Holland","","","","","5-2-1976","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1910-03-30","","19643a925e8668048f30f08d1e9441dd","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Ambon","","","","","","","","","","","","","","","","","","","Baai van Ambon","","","","","30-03-1910","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1863-07-19","","0db4a93610821fa279ab08762fbec005","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Guebeh","","","","","","","","","","","","","","","","","","","","","","","","19-07-1863","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1913-02-24","","15780dcfd21e844ea53e624754045022","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Simalur","","","","","","","","","","","","","","","","","","","","","","","","24-02-1913","","","","","","",""
