"class","cultivarEpithet","externalClassificationSource","family","genericName","genus","geoClassificationCode","geoName","identificationID","infragenericEpithet","infraspecificEpithet","kingdom","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","order","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonID","taxonRank","taxonSortOrder","vernacularName"
"Aves","","","Alaudidae Vigors, 1825","Eremophila","Eremophila F. Boie, 1828","","","a0ee9a4f0b9396b99fd287935c49635e","","longirostris","Animalia","","","","ICZN","","Passeriformes","Chordata","Eremophila alpestris longirostris (Moore, 1856)","(Moore, 1856)","","alpestris","","","https://www.catalogueoflife.org/data/taxon/BNDLQ","SUBSPECIES","",""
"Aves","","","Pittidae","Pitta","Pitta Vieillot, 1816","","","96c5fe551199ae23ce4b729689dff229","","erythrogaster","Animalia","","","1823","ICZN","","Passeriformes","Chordata","Pitta erythrogaster erythrogaster Temminck, 1823","Temminck, 1823","","erythrogaster","","","https://www.catalogueoflife.org/data/taxon/5KGTY","SUBSPECIES","",""
"Aves","","","Recurvirostridae","Recurvirostra","Recurvirostra Linnaeus, 1758","","","3df34d8297fc3ca4d4d0ab9ab57c73ef","","","Animalia","","","1758","ICZN","","Charadriiformes","Chordata","Recurvirostra avosetta Linnaeus, 1758","Linnaeus, 1758","","avosetta","","","https://www.catalogueoflife.org/data/taxon/4RP59","SPECIES","",""
"Aves","","","Columbidae","Ocyphaps","Ocyphaps G. R. Gray, 1842","","","80f272f37bad3d56219273e77be02bbd","","","Animalia","","","","ICZN","","Columbiformes","Chordata","Ocyphaps lophotes (Temminck, 1822)","(Temminck, 1822)","","lophotes","Columbinae","","https://www.catalogueoflife.org/data/taxon/74HFL","SPECIES","",""
"Aves","","","Ardeidae Leach, 1820","Botaurus","Botaurus Stephens, 1819","","","abfcf58ac6885a7e41dd16f2be10853a","","stellaris","Animalia","","","","ICZN","","Pelecaniformes","Chordata","Botaurus stellaris stellaris (Linnaeus, 1758)","(Linnaeus, 1758)","","stellaris","Botaurinae Reichenbach, 1850","","https://www.catalogueoflife.org/data/taxon/BN3YG","SUBSPECIES","",""
"Aves","","","Pycnonotidae G. R. Gray, 1840","Hypsipetes","Hypsipetes Vigors, 1831","","","991c039199db72ccf709f6ac17caceec","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Hypsipetes madagascariensis (Statius Muller, 1776)","(Statius Muller, 1776)","","madagascariensis","","","https://www.catalogueoflife.org/data/taxon/3P474","SPECIES","",""
"Aves","","","Psittacidae","Amazona","Amazona R. Lesson, 1830","","","8c3e92f0d363c2a1fe5ad7a4caaf42ac","","","Animalia","","","","ICZN","","Psittaciformes","Chordata","Amazona finschi (P. L. Sclater, 1864)","(P. L. Sclater, 1864)","","finschi","","","https://www.catalogueoflife.org/data/taxon/5TZSD","SPECIES","",""
"Aves","","","Psittaculidae","Trichoglossus","Trichoglossus Stephens, 1826","","","1584502881444127192354565a20f44b","","","Animalia","","","","ICZN","","Psittaciformes","Chordata","Trichoglossus haematodus (Linnaeus, 1771)","(Linnaeus, 1771)","","haematodus","","","https://www.catalogueoflife.org/data/taxon/58CK3","SPECIES","",""
"Aves","","","Turdidae","Turdus","Turdus Linnaeus, 1758","","","9b52114e7d72afc78ef511e64133a7db","","","Animalia","","","1887","ICZN","","Passeriformes","Chordata","Turdus celaenops Stejneger, 1887","Stejneger, 1887","","celaenops","","","https://www.catalogueoflife.org/data/taxon/59PL7","SPECIES","",""
"Aves","","","Corvidae Leach, 1820","Pica","Pica Brisson, 1760","","","9108d0bd8b03a3ecd9c6d86079b06c2f","","pica","Animalia","","","","ICZN","","Passeriformes","Chordata","Pica pica pica (Linnaeus, 1758)","(Linnaeus, 1758)","","pica","","","https://www.catalogueoflife.org/data/taxon/BNVHW","SUBSPECIES","",""
"Aves","","","Laniidae Rafinesque, 1815","Lanius","Lanius Linnaeus, 1758","","","fe0aee3f21a0ecad4989ad4443522355","","excubitor","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Lanius excubitor excubitor Linnaeus, 1758","Linnaeus, 1758","","excubitor","","","https://www.catalogueoflife.org/data/taxon/BNKXL","SUBSPECIES","",""
"Aves","","","Furnariidae","Synallaxis","Synallaxis Vieillot, 1818","","","36105b3756b714e121a1484da333e979","","","Animalia","","","1859","ICZN","","Passeriformes","Chordata","Synallaxis frontalis Pelzeln, 1859","Pelzeln, 1859","","frontalis","","","https://www.catalogueoflife.org/data/taxon/7B7VW","SPECIES","",""
"Aves","","","Chloropseidae Wetmore, 1960","Chloropsis","Chloropsis Jardine & Selby, 1827","","","a9c513c88707e09800701e2d4fb8060e","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Chloropsis cochinchinensis (Gmelin, 1789)","(Gmelin, 1789)","","cochinchinensis","","","https://www.catalogueoflife.org/data/taxon/5Y9JL","SPECIES","",""
"Aves","","","Rallidae","Fulica","Fulica Linnaeus, 1758","","","8434c284a0cc2860b3d0ae0743525426","","atra","Animalia","","","1758","ICZN","","Gruiformes","Chordata","Fulica atra atra Linnaeus, 1758","Linnaeus, 1758","","atra","","","https://www.catalogueoflife.org/data/taxon/BNG2R","SUBSPECIES","",""
"Aves","","","Laridae","Sterna","Thalasseus F. Boie, 1822","","","cb86b01bd2526cffc599bdfc54b0e103","","","Animalia","","","","ICZN","","Charadriiformes","Chordata","Thalasseus sandvicensis (Latham, 1787)","(Latham, 1787)","","sandvicensis","","","https://www.catalogueoflife.org/data/taxon/7C5FT","SPECIES","",""
"Aves","","","Trochilidae","Thalurania","Thalurania Gould, 1848","","","294343147b00ba7e9e1ebd5707cc7f1b","","furcata","Animalia","","","","ICZN","","Apodiformes","Chordata","Thalurania furcata furcata (J. F. Gmelin, 1788)","(J. F. Gmelin, 1788)","","furcata","Trochilinae","","https://www.catalogueoflife.org/data/taxon/BP4VX","SUBSPECIES","",""
"Aves","","","Muscicapidae Fleming, 1822","Erithacus","Erithacus Cuvier, 1800","","","c07fe7938cbfffe7448adc8c50a9b823","","rubecula","Animalia","","","","ICZN","","Passeriformes","Chordata","Erithacus rubecula rubecula (Linnaeus, 1758)","(Linnaeus, 1758)","","rubecula","","","https://www.catalogueoflife.org/data/taxon/BNDT3","SUBSPECIES","",""
"Aves","","","Oriolidae Vigors, 1825","Oriolus","Oriolus Linnaeus, 1766","","","8ad1b7ac4d0c79f7705ba1528b217871","","celebensis","Animalia","","","","ICZN","","Passeriformes","Chordata","Oriolus chinensis celebensis (Walden, 1872)","(Walden, 1872)","","chinensis","","","https://www.catalogueoflife.org/data/taxon/BNRJY","SUBSPECIES","",""
"Aves","","","Corvidae Leach, 1820","Corvus","Corvus Linnaeus, 1758","","","d65edfbdde290e2060ec0066b3eb5c97","","","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Corvus corone Linnaeus, 1758","Linnaeus, 1758","","corone","","","https://www.catalogueoflife.org/data/taxon/YNHJ","SPECIES","",""
"Aves","","","Motacillidae Horsfield, 1821","Anthus","Anthus Bechstein, 1805","","","ec1283a1e71ca070452a0f67e5614d9d","","pratensis","Animalia","","","","ICZN","","Passeriformes","Chordata","Anthus pratensis pratensis (Linnaeus, 1758)","(Linnaeus, 1758)","","pratensis","","","https://www.catalogueoflife.org/data/taxon/BMZXV","SUBSPECIES","",""
