"clazz","cultivarEpithet","dateIdentified","externalClassificationSource","family","feedbackURL","genericName","genus","geoClassificationCode","geoName","identificationID","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","infragenericEpithet","infraspecificEpithet","isAcceptedIdentification","kingdom","materialEntityID","mediaID","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","nucleotideAnalysisID","nucleotideSequenceID","occurrenceID","order","organismID","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification","vernacularName"
"","","","","","","","","","","36724cb47d2e36d8a03348855390e9d2","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.63838","","","","","","","","","","","","","","","","","","","","","","","","","","Garrulus glandarius glandarius (Linnaeus, 1758)",""
"","","","","","","","","","","43fc02802be6a5b8f2f666a9895370dd","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.47768","","","","","","","","","","","","","","","","","","","","","","","","","","Cymbirhynchus macrorhynchos macrorhynchos Gmelin, J.F., 1788",""
"","","","","","","","","","","c36b7db900c21b201f8a7a545ab86724","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.228827","","","","","","","","","","","","","","","","","","","","","","","","","","Pipile jacutinga (Spix)",""
"","","","","","","","","","","22ac90862710179e06b8f9e57a102abd","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.188539","","","","","","","","","","","","","","","","","","","","","","","","","","Colibri delphinae (Lesson, 1839)",""
"","","","","","","","","","","67c7a584300d3fe8ce9c200ac021ce13","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34528","","","","","","","","","","","","","","","","","","","","","","","","","","Empidonax minimus (Baird & Baird, 1843)",""
"","","","","","","","","","","b3c0dee2ca68b55cc4c83a2e0cde8337","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092347.a","","","","","","","","","","","","","","","","","","","","","","","","","","Larus hyperboreus Gunnerus, 1767",""
"","","","","","","","","","","4857deb06a189861779eb91677badec7","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156840","","","","","","","","","","","","","","","","","","","","","","","","","","Carduelis tristis tristis (Linnaeus, 1758)",""
"","","","","","","","","","","ab25e8f65898f28c4a7c94b4d6603b9b","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72028","","","","","","","","","","","","","","","","","","","","","","","","","","Sporophila americana americana (Gmelin, 1789)",""
"","","","","","","","","","","37db8d1fbe19af443c81b28735fdb939","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.207363","","","","","","","","","","","","","","","","","","","","","","","","","","Larus dominicanus Licht.",""
"","","","","","","","","","","720ecff652a201ab7e41607464828bc4","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140023","","","","","","","","","","","","","","","","","","","","","","","","","","Platylophus galericulatus ardesiacus (Bonaparte, 1851)",""
"","","","","","","","","","","613468273dbfc5d8b0371d4f7793b85f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.171448","","","","","","","","","","","","","","","","","","","","","","","","","","Prinia buchanani Blyth, 1844",""
"","","","","","","","","","","b3dc924df9f113d4bff8da87ebf2f0a4","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.41941","","","","","","","","","","","","","","","","","","","","","","","","","","Cisticola juncidis juncidis Rafinesque, 1810",""
"","","","","","","","","","","49854ba29f385015a67ec4fb23d06657","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.120368","","","","","","","","","","","","","","","","","","","","","","","","","","Leptasthenura aegithaloides aegithaloides (Kittlitz, 1830)",""
"","","","","","","","","","","2546a369ec8ca00748466871dc8d3583","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132918","","","","","","","","","","","","","","","","","","","","","","","","","","Anthreptes malacensis malacensis (Scopoli, 1786)",""
"","","","","","","","","","","3c9438f0b904356c196f19d1a2735d8d","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.172987","","","","","","","","","","","","","","","","","","","","","","","","","","Pipra erythrocephala erythrocephala Linnaeus, 1758",""
"","","","","","","","","","","e434587849e64af835a267924a2b7912","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78474","","","","","","","","","","","","","","","","","","","","","","","","","","Cuculus canorus canorus Linnaeus, 1758",""
"","","","","","","","","","","a4efba37207886df181cb5c772fdb9f7","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.57443","","","","","","","","","","","","","","","","","","","","","","","","","","Tangara larvata larvata Du Bus de Gisignies, 1846",""
"","","","","","","","","","","ef6fdf4a6eeb5d436d513ae91faab230","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.220138","","","","","","","","","","","","","","","","","","","","","","","","","","Arenaria interpres (Linnaeus, 1758)",""
"","","","","","","","","","","10ec38ea333814051bd0e28d76f191ce","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.12672","","","","","","","","","","","","","","","","","","","","","","","","","","Hylocichla mustelina Gmelin, J.F., 1789",""
"","","","","","","","","","","4a3b8c11a1cb848cea83a2649698f1b2","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.30393","","","","","","","","","","","","","","","","","","","","","","","","","","Tringa totanus robusta Schiøler, 1919",""
"","","","","","","","","","","0421c7b9a207a70ecdb1cce76a656d91","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.15160","","","","","","","","","","","","","","","","","","","","","","","","","","Ptilinopus viridis viridis (Linnaeus)",""
"","","","","","","","","","","9cb29a87fff2d7dc5f5cf1500583ad96","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.210848","","","","","","","","","","","","","","","","","","","","","","","","","","Tanygnathus megalorynchos megalorynchos (Boddaert)",""
"","","","","","","","","","","f1af010712959d964d794e4274697b06","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.202476","","","","","","","","","","","","","","","","","","","","","","","","","","Pelargopsis capensis simalurensis Richmond",""
"","","","","","","","","","","9a99b0de2427646f5b8001531c202535","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.223763","","","","","","","","","","","","","","","","","","","","","","","","","","Belonopteris chilensis chilensis (Molina, 1782)",""
"","","","","","","","","","","daab2f42ed1a34b8927c4fb270580200","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.232675","","","","","","","","","","","","","","","","","","","","","","","","","","Mergus serrator Linnaeus",""
"","","","","","","","","","","47c62c1dd1ade9d8a1dac09aaf7a4f07","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11449","","","","","","","","","","","","","","","","","","","","","","","","","","Aythya marila marila Linnaeus, 1761",""
"","","","","","","","","","","b8ecca683339478b8e9d4e74a776ee5c","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146776","","","","","","","","","","","","","","","","","","","","","","","","","","Turdus plumbeus rubripes Temminck, 1826",""
"","","","","","","","","","","b312a59f5be4edfb9f316a9f3d946643","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.170652","","","","","","","","","","","","","","","","","","","","","","","","","","Pachycephala macrorhyncha macrorhyncha Strickland, 1849",""
"","","","","","","","","","","cb916b728ca8b6b6775a86ff7bd4fd13","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.224338","","","","","","","","","","","","","","","","","","","","","","","","","","Eudromias morinellus (Linnaeus, 1758)",""
"","","","","","","","","","","fab3e1c878812b35fec843ef5deb1fa0","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.47607","","","","","","","","","","","","","","","","","","","","","","","","","","Harpactes reinwardtii reinwardtii (Temminck, 1822)",""
"","","","","","","","","","","02c019973e8a9cb7babdbe7fd083ea3f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.54107","","","","","","","","","","","","","","","","","","","","","","","","","","pluvialis squatarola squatarola Linnaeus, 1758",""
"","","","","","","","","","","7f5b3ae4ef5488fbf6316fbe293bbf6f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.9141","","","","","","","","","","","","","","","","","","","","","","","","","","Ciconia ciconia ciconia (Linnaeus, 1758)",""
"","","","","","","","","","","892924debb79b618dcf35365e86991bd","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.17937","","","","","","","","","","","","","","","","","","","","","","","","","","Numenius arquata arquata (Linnaeus, 1758)",""
"","","","","","","","","","","1df63a8a551242c4a0c611833e2c4cc3","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.198467","","","","","","","","","","","","","","","","","","","","","","","","","","Asio flammeus flammeus (Pontopp.)",""
"","","","","","","","","","","b67156b798f1d63b192f536b0319897a","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126660","","","","","","","","","","","","","","","","","","","","","","","","","","Hypsipetes virescens sumatranus (Wardlaw Ramsay, 1882)",""
"","","","","","","","","","","7f6aaccdeede69bc3193fb11696d6b73","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.98105","","","","","","","","","","","","","","","","","","","","","","","","","","Ploceus hypoxanthus hypoxanthus (Sparrman, 1788)",""
"","","","","","","","","","","bcb90a8990af5728951378dfa058ed1f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.48135","","","","","","","","","","","","","","","","","","","","","","","","","","Platylophus galericulatus galericulatus (Cuvier, 1817)",""
"","","","","","","","","","","50388f34bd9bad0933be60ffeb534de5","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.59285","","","","","","","","","","","","","","","","","","","","","","","","","","Charmosyna placentis intensior Kinnear, 1928",""
"","","","","","","","","","","3d408a406fc9b9d50a8d78234ca80533","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.147655","","","","","","","","","","","","","","","","","","","","","","","","","","Macronous gularis gularis (Horsfield, 1822)",""
"","","","","","","","","","","18c2fb275193d169e9971290285c8941","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.176672","","","","","","","","","","","","","","","","","","","","","","","","","","Platysmurus ssp",""
"","","","","","","","","","","e68f297a64ff15f69dc40fe39b2714a9","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56975","","","","","","","","","","","","","","","","","","","","","","","","","","Loxia curvirostra curvirostra Linnaeus, 1758",""
"","","","","","","","","","","c4fc753e5828638e72c647e57c5881d0","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.55236","","","","","","","","","","","","","","","","","","","","","","","","","","Crocethia alba (Pallas, 1764)",""
"","","","","","","","","","","19f1e8863eef01a3cc0d7eea5da5c02f","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39356","","","","","","","","","","","","","","","","","","","","","","","","","","Larus glaucoides glaucoides Meyer, B., 1822",""
"","","","","","","","","","","ebf5f4cd367962c6b970f5c4484ac0ce","","","","","","","","true","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.216677","","","","","","","","","","","","","","","","","","","","","","","","","","Rhamphococcyx curvirostris erythrognatus (Bp.)",""
